entity_id;area;status;priority
2353124;Система.ХранениеАртефактов;Закрыто;Средний
3332524;Система.Таск-трекер;Создано;Средний
3689670;Система.Таск-трекер;Закрыто;Средний
3791006;Система.Таск-трекер;Закрыто;Средний
3799650;Система.Вики;Закрыто;Средний
3823975;Система.ХранениеАртефактов;Закрыто;Средний
3907488;Система. Движок;Выполнено;Средний
3931492;Управление релизами изменениями;В работе;Средний
3941779;Система.ХранениеАртефактов;Закрыто;Средний
4042153;Управление релизами изменениями;Закрыто;Низкий
4042394;Управление релизами изменениями;Закрыто;Низкий
4072346;Система.Таск-трекер;Создано;Средний
4098097;Система.Таск-трекер;Закрыто;Средний
4127240;Система.Таск-трекер;Закрыто;Средний
4178222;Система.Таск-трекер;Создано;Средний
4209553;Система.Таск-трекер;Тестирование;Средний
4317974;Система.Таск-трекер;Закрыто;Средний
4319042;Система.Таск-трекер;Закрыто;Средний
4328779;Система.ХранениеАртефактов;Закрыто;Средний
4328789;Система.ХранениеАртефактов;Закрыто;Средний
4331407;Система.ХранениеАртефактов;Закрыто;Средний
4331420;Система.ХранениеАртефактов;Закрыто;Средний
4334929;Система.Таск-трекер;Закрыто;Средний
4334971;Система.Таск-трекер;Закрыто;Критический
4334986;Система.Таск-трекер;Закрыто;Критический
4335204;Система.ХранениеАртефактов;Закрыто;Средний
4337598;Система.Таск-трекер;Закрыто;Средний
4337702;Система.Таск-трекер;Закрыто;Средний
4337719;Система.Таск-трекер;Закрыто;Критический
4337859;Система.ХранениеАртефактов;Закрыто;Средний
4337880;Система.ХранениеАртефактов;Закрыто;Средний
4352186;Система.Таск-трекер;Закрыто;Средний
4380297;Управление релизами изменениями;Закрыто;Низкий
4385950;Система.Таск-трекер;Закрыто;Средний
4395328;Управление релизами изменениями;Закрыто;Средний
4399932;Система.Таск-трекер;Закрыто;Высокий
4410776;Система.ХранениеАртефактов;Закрыто;Средний
4417462;Система.Таск-трекер;Подтверждение;Средний
4417481;Система.Таск-трекер;Закрыто;Средний
4441011;Система.Таск-трекер;Закрыто;Средний
4441120;Система.Таск-трекер;Закрыто;Средний
