entity_id;area;status;priority
3051159;Система.Таск-трекер;Создано;Средний
3207737;Система.Таск-трекер;Закрыто;Средний
3549401;Система.ХранениеАртефактов;Закрыто;Средний
3826504;Система.ХранениеАртефактов;Закрыто;Средний
3830128;Система.ХранениеАртефактов;Закрыто;Средний
3836390;Система.ХранениеАртефактов;Закрыто;Средний
3837909;Система.ХранениеАртефактов;Закрыто;Средний
3907488;Система. Движок;Выполнено;Средний
3910233;Система.Таск-трекер;Закрыто;Средний
3982105;Система.ХранениеАртефактов;Закрыто;Средний
3982134;Система.ХранениеАртефактов;Закрыто;Средний
3992849;Система.ХранениеАртефактов;Закрыто;Средний
3995504;Система.ХранениеАртефактов;Закрыто;Низкий
4025653;Система.Таск-трекер;Закрыто;Высокий
4026364;Система.Таск-трекер;Закрыто;Высокий
4042153;Управление релизами изменениями;Закрыто;Низкий
4050750;Система.ХранениеАртефактов;Закрыто;Низкий
4060486;Система.ХранениеАртефактов;Исправление;Средний
4075365;Система.Таск-трекер;Закрыто;Средний
4089534;Система.Таск-трекер;Закрыто;Средний
4092837;Система. Движок;Создано;Средний
4203803;Система. Движок;Закрыто;Средний
4209484;Система.Таск-трекер;Тестирование;Критический
4215713;Система.ХранениеАртефактов;Исправление;Средний
4221177;Система.ХранениеАртефактов;Закрыто;Средний
4229894;Система.Вики;Закрыто;Средний
4268216;Система.Вики;Закрыто;Средний
4319076;Система.Таск-трекер;Закрыто;Средний
4327047;Система.ХранениеАртефактов;Закрыто;Средний
4327627;Система.ХранениеАртефактов;Закрыто;Средний
4327681;Система.ХранениеАртефактов;Закрыто;Средний
4334407;Система.ХранениеАртефактов;Закрыто;Средний
4334839;Система.Таск-трекер;Закрыто;Высокий
4337660;Система.Таск-трекер;Тестирование;Высокий
4337710;Система.Таск-трекер;Закрыто;Критический
4340645;Система.ХранениеАртефактов;Закрыто;Средний
4342867;Система.Таск-трекер;Тестирование;Средний
4355712;Система.Таск-трекер;Закрыто;Высокий
4368630;Система.Таск-трекер;Закрыто;Средний
4377303;Система.ХранениеАртефактов;Закрыто;Средний
4382391;Система.Вики;Закрыто;Средний
4403153;Система.Вики;Закрыто;Средний
4413887;Система.ХранениеАртефактов;Закрыто;Средний
4455271;Управление релизами изменениями;Закрыто;Высокий
4456149;Управление релизами изменениями;Закрыто;Высокий
4456425;Управление релизами изменениями;Закрыто;Высокий
4456502;Управление релизами изменениями;Закрыто;Средний
4456970;Управление релизами изменениями;Закрыто;Средний
4466728;Система.Таск-трекер;Закрыто;Средний
4476153;Система.Таск-трекер;Закрыто;Высокий
4486326;Система.Вики;Закрыто;Средний
4486366;Система.Вики;Закрыто;Средний
4486418;Система.Вики;Закрыто;Средний
4486621;Система.Вики;Закрыто;Средний
4486634;Система.Вики;Закрыто;Средний
4486669;Система.Вики;Закрыто;Средний
4486702;Система.Вики;Закрыто;Средний
4486897;Система.Таск-трекер;Закрыто;Высокий
4494618;Система.ХранениеАртефактов;Закрыто;Низкий
4497599;Система.Вики;Создано;Средний
4498685;Управление релизами изменениями;Выполнено;Высокий
4498701;Управление релизами изменениями;Закрыто;Средний
4500830;Система.Таск-трекер;Закрыто;Средний
4504940;Система.ХранениеАртефактов;Закрыто;Низкий
4505173;Управление релизами изменениями;Закрыто;Средний
4505183;Управление релизами изменениями;Закрыто;Средний
4505204;Управление релизами изменениями;Закрыто;Средний
4509516;Управление релизами изменениями;Закрыто;Средний
4509518;Управление релизами изменениями;Закрыто;Средний
4509524;Управление релизами изменениями;Закрыто;Средний
4509530;Управление релизами изменениями;Закрыто;Средний
4509536;Управление релизами изменениями;Закрыто;Средний
4509547;Управление релизами изменениями;Закрыто;Средний
4509564;Управление релизами изменениями;Закрыто;Средний
4509868;Управление релизами изменениями;Закрыто;Средний
4509871;Управление релизами изменениями;Закрыто;Высокий
4510103;Управление релизами изменениями;Анализ;Средний
4516073;Управление релизами изменениями;Выполнено;Средний
4522431;Система.Таск-трекер;Закрыто;Критический
4523718;Система. Движок;Закрыто;Критический
4524283;Система. Движок;Создано;Средний
4537979;Система.Вики;Создано;Средний
4573645;Система. Движок;Закрыто;Высокий
4579094;Система. Движок;Закрыто;Критический
4581346;Система.Таск-трекер;Закрыто;Средний
4590283;Система.ХранениеАртефактов;Закрыто;Средний
4594147;Система. Движок;Создано;Средний
4594168;Система. Движок;Создано;Средний
4594560;Система.ХранениеАртефактов;Закрыто;Средний
4595317;Система. Движок;Отклонен исполнителем;Высокий
4596004;Система. Движок;Закрыто;Критический
4596468;Система.Таск-трекер;Закрыто;Низкий
4599049;Система. Движок;Закрыто;Средний
4600026;Система.Вики;Закрыто;Средний
4600573;Управление релизами изменениями;Тестирование;Низкий
4603867;Система.Таск-трекер;Закрыто;Средний
4604563;Система.ХранениеАртефактов;Закрыто;Средний
4609089;Система. Движок;В работе;Средний
4610419;Управление релизами изменениями;Отклонен исполнителем;Высокий
4610671;Система.ХранениеАртефактов;Закрыто;Средний
4614947;Система. Движок;Закрыто;Высокий
4618942;Управление релизами изменениями;Выполнено;Средний
4619372;Система.Вики;Закрыто;Высокий
4627203;Система.Таск-трекер;Закрыто;Средний
4629271;Система.ХранениеАртефактов;Закрыто;Средний
4629652;Система.Вики;Отложен;Средний
4632496;Система.ХранениеАртефактов;Закрыто;Средний
4632599;Система.ХранениеАртефактов;Закрыто;Средний
4633626;Система.ХранениеАртефактов;Закрыто;Средний
4634281;Управление релизами изменениями;Закрыто;Высокий
4648219;Система.Таск-трекер;Закрыто;Средний
4650251;Система.Таск-трекер;Закрыто;Высокий
4650658;Система.Вики;Тестирование;Критический
4660274;Система.ХранениеАртефактов;Закрыто;Средний
4661406;Система. Движок;Создано;Средний
4673177;Управление релизами изменениями;В работе;Средний
4673236;Управление релизами изменениями;Создано;Средний
4674143;Система.Таск-трекер;Закрыто;Критический
4674619;Система.Таск-трекер;Закрыто;Средний
4675458;Система.Таск-трекер;Закрыто;Средний
4676314;Система.Таск-трекер;Закрыто;Средний
4679322;Управление релизами изменениями;Закрыто;Средний
4679859;Система.Таск-трекер;В работе;Средний
4680260;Система. Движок;Закрыто;Критический
4680313;Система.Таск-трекер;Создано;Средний
4681497;Управление релизами изменениями;Закрыто;Низкий
4683253;Система.Таск-трекер;Закрыто;Критический
4683565;Система.Вики;Закрыто;Средний
4685198;Система. Движок;Закрыто;Критический
4685321;Система. Движок;Закрыто;Критический
4686803;Система.Вики;Закрыто;Средний
4689370;Система.Вики;Закрыто;Средний
4691287;Система.Таск-трекер;Закрыто;Средний
4691386;Система.Вики;Закрыто;Высокий
4692937;Система.ХранениеАртефактов;Закрыто;Низкий
4694049;Система.Вики;Закрыто;Средний
4695218;Система. Движок;Закрыто;Средний
4697246;Система.Таск-трекер;Закрыто;Средний
4697963;Управление релизами изменениями;Создано;Средний
4701184;Система.ХранениеАртефактов;Закрыто;Средний
4701896;Система. Движок;Выполнено;Средний
4706820;Система.Вики;Закрыто;Средний
4706913;Система.Вики;Закрыто;Средний
4707402;Система. Движок;Выполнено;Средний
4707408;Система. Движок;Выполнено;Средний
4707414;Система. Движок;Создано;Средний
4707459;Система. Движок;Выполнено;Средний
4707473;Система. Движок;Выполнено;Средний
4707481;Система. Движок;В работе;Средний
4707501;Система. Движок;Закрыто;Средний
4707516;Система. Движок;Закрыто;Средний
4707548;Система. Движок;В работе;Средний
4707609;Система. Движок;Закрыто;Средний
4707629;Система. Движок;Закрыто;Средний
4708677;Система. Движок;Выполнено;Низкий
4708680;Система. Движок;Выполнено;Низкий
4708682;Система. Движок;Создано;Низкий
4711709;Система. Движок;Закрыто;Высокий
4714206;Система. Движок;Разработка;Средний
4714365;Система.Вики;Закрыто;Средний
4714397;Система.ХранениеАртефактов;Закрыто;Средний
4716357;Система.Вики;Закрыто;Средний
4716465;Система.Таск-трекер;Закрыто;Средний
4721276;Система.Вики;Закрыто;Средний
4721277;Система.Вики;Закрыто;Средний
4721284;Система.Вики;Закрыто;Средний
4721286;Система.Вики;Закрыто;Средний
4721589;Система.ХранениеАртефактов;Закрыто;Средний
4726353;Система.ХранениеАртефактов;Закрыто;Средний
4726662;Система.ХранениеАртефактов;Закрыто;Средний
4726751;Система.ХранениеАртефактов;Закрыто;Средний
4726846;Система.ХранениеАртефактов;Закрыто;Средний
4728361;Система.ХранениеАртефактов;Закрыто;Средний
4728501;Система.ХранениеАртефактов;Закрыто;Средний
4728555;Система.ХранениеАртефактов;Закрыто;Средний
4729277;Система.ХранениеАртефактов;Закрыто;Средний
4729849;Система.ХранениеАртефактов;Закрыто;Средний
4730072;Система.ХранениеАртефактов;Закрыто;Средний
4730230;Система.ХранениеАртефактов;Закрыто;Средний
4730356;Система.ХранениеАртефактов;Закрыто;Средний
4730429;Система.ХранениеАртефактов;Закрыто;Средний
4730494;Система.ХранениеАртефактов;Закрыто;Средний
4731548;Система.ХранениеАртефактов;Закрыто;Средний
4731577;Система.ХранениеАртефактов;Закрыто;Средний
4731813;Система.ХранениеАртефактов;Закрыто;Средний
4731845;Система.ХранениеАртефактов;Закрыто;Средний
4731866;Система.ХранениеАртефактов;Закрыто;Средний
4731893;Система.ХранениеАртефактов;Закрыто;Средний
4731931;Система.ХранениеАртефактов;Закрыто;Средний
4732010;Система.ХранениеАртефактов;Закрыто;Средний
4732072;Система.ХранениеАртефактов;Закрыто;Средний
4732838;Система.ХранениеАртефактов;Закрыто;Средний
4732884;Система.ХранениеАртефактов;Закрыто;Средний
4732980;Система.ХранениеАртефактов;Закрыто;Средний
4733050;Система.ХранениеАртефактов;Закрыто;Средний
4733121;Система.ХранениеАртефактов;Закрыто;Средний
4733161;Система.ХранениеАртефактов;Закрыто;Средний
4733183;Система.ХранениеАртефактов;Закрыто;Средний
4734244;Система.Таск-трекер;Закрыто;Критический
4734319;Система.ХранениеАртефактов;Закрыто;Средний
4734663;Система. Движок;Закрыто;Высокий
4734677;Система.ХранениеАртефактов;Закрыто;Средний
4734721;Система.ХранениеАртефактов;Закрыто;Средний
4734809;Система.ХранениеАртефактов;Выполнено;Средний
4734883;Система.ХранениеАртефактов;Закрыто;Средний
4734964;Система.Таск-трекер;Закрыто;Средний
4735002;Система.Таск-трекер;Выполнено;Высокий
4735025;Система.Вики;Закрыто;Средний
4735150;Система.Вики;Закрыто;Средний
4735225;Система.Вики;Закрыто;Средний
4735329;Система.Вики;Закрыто;Средний
4735383;Система.Вики;Закрыто;Средний
4735419;Система.Вики;Закрыто;Средний
4735453;Система.Вики;Закрыто;Средний
4736330;Система.Вики;Закрыто;Средний
4736669;Система. Движок;Закрыто;Критический
4736935;Система.ХранениеАртефактов;Закрыто;Средний
4737163;Система.ХранениеАртефактов;Закрыто;Средний
4737607;Система.Вики;Закрыто;Средний
4737808;Система.Таск-трекер;Закрыто;Средний
4737816;Система.Таск-трекер;Закрыто;Средний
4737855;Система.Таск-трекер;Закрыто;Высокий
4738672;Система. Движок;В работе;Средний
4740573;Система.Таск-трекер;Закрыто;Высокий
4744635;Система.Вики;Закрыто;Средний
4745192;Система.Таск-трекер;Закрыто;Высокий
4745453;Система.Вики;Закрыто;Средний
4745533;Система.Таск-трекер;Закрыто;Средний
4745821;Система.Вики;Закрыто;Средний
4746084;Система.Вики;Закрыто;Средний
4746558;Система.Таск-трекер;Закрыто;Средний
4746648;Система.Вики;Закрыто;Средний
4746917;Система.Вики;Закрыто;Средний
4746974;Система.Вики;Закрыто;Средний
4747020;Система.Вики;Закрыто;Средний
4747044;Система.Вики;Закрыто;Средний
4747070;Система.Вики;Закрыто;Средний
4747216;Система.Таск-трекер;Закрыто;Критический
4747326;Система.Вики;Закрыто;Средний
4747420;Система.Вики;Закрыто;Средний
4747495;Система.Вики;Создано;Средний
4747562;Система.ХранениеАртефактов;Закрыто;Средний
4748188;Система.ХранениеАртефактов;Закрыто;Средний
4748255;Система.ХранениеАртефактов;Закрыто;Средний
4748427;Система.ХранениеАртефактов;Закрыто;Средний
4748505;Система.ХранениеАртефактов;Закрыто;Средний
4748536;Система.ХранениеАртефактов;Закрыто;Средний
4748649;Система.Таск-трекер;Закрыто;Критический
4748898;Система.ХранениеАртефактов;Закрыто;Средний
4748920;Система.ХранениеАртефактов;Закрыто;Средний
4748943;Система.ХранениеАртефактов;Закрыто;Средний
4748962;Система.ХранениеАртефактов;Закрыто;Средний
4748968;Система.ХранениеАртефактов;Закрыто;Средний
4748978;Система.ХранениеАртефактов;Закрыто;Средний
4749178;Система.Таск-трекер;Закрыто;Критический
4749223;Система.Вики;Закрыто;Средний
4749264;Система.Таск-трекер;Закрыто;Средний
4749288;Система.Вики;Закрыто;Средний
4749300;Система.Таск-трекер;Закрыто;Высокий
4749317;Система.Таск-трекер;Закрыто;Средний
4749331;Система.ХранениеАртефактов;Закрыто;Средний
4749386;Система.Вики;Закрыто;Средний
4749427;Система.Таск-трекер;Закрыто;Средний
4749441;Система.ХранениеАртефактов;Закрыто;Средний
4749473;Система.Вики;Закрыто;Средний
4749527;Система.ХранениеАртефактов;Закрыто;Средний
4749623;Система.ХранениеАртефактов;Закрыто;Средний
4749778;Система.Таск-трекер;Закрыто;Средний
4750007;Система.Вики;Закрыто;Средний
4750386;Система.Таск-трекер;Закрыто;Средний
4750447;Система.Таск-трекер;Закрыто;Средний
4750646;Система.Таск-трекер;Закрыто;Средний
4750683;Система.Таск-трекер;Закрыто;Средний
4750971;Система.ХранениеАртефактов;Закрыто;Средний
4750987;Система.Вики;Закрыто;Средний
4751163;Система.ХранениеАртефактов;Закрыто;Средний
4751204;Система.ХранениеАртефактов;Закрыто;Средний
4751259;Система.ХранениеАртефактов;Закрыто;Средний
4751424;Система. Движок;Закрыто;Средний
4751465;Система.ХранениеАртефактов;Закрыто;Средний
4751486;Система.ХранениеАртефактов;Закрыто;Средний
4751551;Система. Движок;Закрыто;Средний
4751645;Система. Движок;Закрыто;Средний
4753418;Система.Вики;Закрыто;Средний
4753586;Система.Вики;Закрыто;Средний
4753587;Система.Вики;Закрыто;Средний
4753602;Система.Вики;Закрыто;Средний
4753631;Система.Вики;Закрыто;Средний
4753636;Система.Вики;Закрыто;Средний
4753653;Система.Вики;Закрыто;Средний
4753663;Система.Вики;Закрыто;Средний
4753666;Система.Вики;В ожидании;Средний
4753675;Система.Вики;Закрыто;Средний
4753712;Система.Вики;Закрыто;Средний
4753743;Система.Вики;Закрыто;Средний
4753756;Система.Вики;Закрыто;Средний
4753791;Система.Вики;Закрыто;Средний
4753901;Система.Вики;Закрыто;Средний
4753987;Система.Вики;Закрыто;Средний
4753995;Система.Вики;Закрыто;Средний
4754028;Система.Вики;В работе;Средний
4754131;Система.Вики;Закрыто;Средний
4754228;Система.Вики;Закрыто;Средний
4754277;Система.Вики;Закрыто;Средний
4754948;Система.ХранениеАртефактов;Закрыто;Средний
4754982;Система.Вики;Закрыто;Средний
4755132;Система.Вики;Закрыто;Средний
4755191;Система.ХранениеАртефактов;Закрыто;Средний
4755391;Система.Вики;Закрыто;Средний
4755587;Система.Вики;Закрыто;Средний
4756253;Система.ХранениеАртефактов;Закрыто;Средний
4757374;Система.ХранениеАртефактов;Закрыто;Средний
4757473;Система.ХранениеАртефактов;Закрыто;Средний
4757532;Система.ХранениеАртефактов;Закрыто;Средний
4757834;Система.ХранениеАртефактов;Закрыто;Средний
4760481;Система. Движок;Закрыто;Средний
4761804;Система.ХранениеАртефактов;Закрыто;Средний
4761890;Система.ХранениеАртефактов;Закрыто;Средний
4761978;Система.ХранениеАртефактов;Закрыто;Средний
4762417;Система. Движок;Закрыто;Средний
4766575;Система. Движок;Закрыто;Средний
4767530;Система.Таск-трекер;Закрыто;Средний
4767636;Система.Таск-трекер;Закрыто;Средний
4767711;Система.Таск-трекер;Закрыто;Средний
4768217;Система.Таск-трекер;Закрыто;Высокий
4771420;Управление релизами изменениями;Выполнено;Высокий
4779399;Система.Вики;Закрыто;Средний
4779452;Система.ХранениеАртефактов;Закрыто;Средний
4780454;Система. Движок;Выполнено;Средний
4781271;Система. Движок;Закрыто;Средний
4784840;Управление релизами изменениями;Выполнено;Высокий
4785973;Система. Движок;Закрыто;Высокий
4786978;Система. Движок;Закрыто;Высокий
4787082;Система. Движок;Закрыто;Средний
4788026;Система. Движок;Закрыто;Высокий
4788411;Система. Движок;Закрыто;Средний
4792336;Система.Таск-трекер;Закрыто;Средний
4792425;Управление релизами изменениями;Выполнено;Высокий
4792434;Управление релизами изменениями;Выполнено;Высокий
4793080;Система. Движок;Закрыто;Средний
4795578;Система.ХранениеАртефактов;Анализ;Средний
4796633;Система.ХранениеАртефактов;Закрыто;Средний
