entity_id;status;priority
2353124;Закрыто;Средний
3332524;Создано;Средний
3689670;Закрыто;Средний
3791006;Закрыто;Средний
3799650;Закрыто;Средний
3823975;Закрыто;Средний
3907488;Выполнено;Средний
3931492;В работе;Средний
3941779;Закрыто;Средний
4042153;Закрыто;Низкий
4042394;Закрыто;Низкий
4072346;Создано;Средний
4098097;Закрыто;Средний
4127240;Закрыто;Средний
4178222;Создано;Средний
4209553;Тестирование;Средний
4317974;Закрыто;Средний
4319042;Закрыто;Средний
4328779;Закрыто;Средний
4328789;Закрыто;Средний
4331407;Закрыто;Средний
4331420;Закрыто;Средний
4334929;Закрыто;Средний
4334971;Закрыто;Критический
4334986;Закрыто;Критический
4335204;Закрыто;Средний
4337598;Закрыто;Средний
4337702;Закрыто;Средний
4337719;Закрыто;Критический
4337859;Закрыто;Средний
4337880;Закрыто;Средний
4352186;Закрыто;Средний
4380297;Закрыто;Низкий
4385950;Закрыто;Средний
4395328;Закрыто;Средний
4399932;Закрыто;Высокий
4410776;Закрыто;Средний
4417462;Подтверждение;Средний
4417481;Закрыто;Средний
4441011;Закрыто;Средний
4441120;Закрыто;Средний
4450950;Закрыто;Высокий
4455271;Закрыто;Высокий
4456149;Закрыто;Высокий
4456425;Закрыто;Высокий
4456502;Закрыто;Средний
4456970;Закрыто;Средний
4460487;Разработка;Высокий
4494618;Закрыто;Низкий
4494804;Подтверждение;Высокий
4498161;Выполнено;Высокий
4498685;Выполнено;Высокий
4498701;Закрыто;Средний
4504034;Закрыто;Высокий
4504037;Закрыто;Высокий
4504940;Закрыто;Низкий
4505501;Закрыто;Средний
4506738;Анализ;Средний
4506809;Закрыто;Средний
4509576;Закрыто;Средний
4509882;Закрыто;Высокий
4512596;Закрыто;Средний
4531037;Закрыто;Средний
4536637;Закрыто;Средний
4554718;Закрыто;Средний
4555827;Закрыто;Средний
4575370;Закрыто;Средний
4580923;Отклонен исполнителем;Средний
4581487;Закрыто;Высокий
4586084;Отложен;Высокий
4602781;Закрыто;Средний
4609089;В работе;Средний
4612260;Закрыто;Средний
4614947;Закрыто;Высокий
4620977;Закрыто;Средний
4627018;Закрыто;Средний
4632264;Закрыто;Средний
4638441;Тестирование;Средний
4653024;Закрыто;Средний
4659113;Подтверждение исправления;Средний
4673177;В работе;Средний
4673236;Создано;Средний
4675867;Создано;Средний
4679322;Закрыто;Средний
4679846;Закрыто;Средний
4681497;Закрыто;Низкий
4682360;Закрыто;Средний
4685900;Закрыто;Средний
4685922;Закрыто;Средний
4697963;Создано;Средний
4702650;Закрыто;Средний
4705724;Закрыто;Средний
4707481;В работе;Средний
4708680;Выполнено;Низкий
4708708;Выполнено;Низкий
4716380;Закрыто;Средний
4724529;Закрыто;Средний
4728618;Закрыто;Средний
4731106;Закрыто;Средний
4737959;Закрыто;Средний
4739622;Закрыто;Средний
4740195;Закрыто;Средний
4741105;Закрыто;Средний
4747094;Закрыто;Средний
4747515;Закрыто;Средний
4760462;Закрыто;Средний
4793080;Закрыто;Средний
4812411;Закрыто;Критический
4815422;Закрыто;Высокий
4815976;Закрыто;Средний
4815999;Закрыто;Средний
4816011;Закрыто;Средний
4816020;Закрыто;Средний
4817374;Закрыто;Средний
4817393;Разработка;Высокий
4818844;Закрыто;Средний
4818859;Закрыто;Средний
4818940;Закрыто;Средний
4818970;Закрыто;Средний
4818988;Закрыто;Средний
4819003;Закрыто;Средний
4819027;Закрыто;Средний
4819043;Закрыто;Средний
4819074;Закрыто;Средний
4819092;Закрыто;Средний
4819110;Закрыто;Средний
4819159;Закрыто;Средний
4820851;Закрыто;Средний
4828837;Закрыто;Средний
4830400;Закрыто;Средний
4832933;Закрыто;Средний
4832973;Закрыто;Средний
4841274;Закрыто;Средний
4842566;Закрыто;Средний
4842712;Закрыто;Средний
4846316;Закрыто;Средний
4846758;Закрыто;Средний
4854177;Закрыто;Средний
4857010;Закрыто;Средний
4857280;В работе;Средний
4857805;Выполнено;Средний
4860079;Закрыто;Средний
4861809;Закрыто;Средний
4862908;Закрыто;Средний
4862934;Закрыто;Средний
4863760;Закрыто;Средний
4863785;Закрыто;Высокий
4865405;Закрыто;Средний
4868440;Закрыто;Средний
4868878;Закрыто;Средний
4869075;Закрыто;Средний
4870059;Закрыто;Средний
4871324;Закрыто;Средний
4883319;Закрыто;Средний
4884062;Закрыто;Средний
4885532;Закрыто;Средний
4901955;Закрыто;Высокий
4909458;Закрыто;Средний
4909793;Подтверждение исправления;Низкий
4911223;Выполнено;Средний
4915795;Закрыто;Средний
4915844;Закрыто;Средний
4915955;Закрыто;Средний
4916224;Закрыто;Средний
4918746;Закрыто;Высокий
4921792;Закрыто;Средний
4921941;Закрыто;Средний
4921984;Закрыто;Средний
4922328;Закрыто;Средний
4922388;Закрыто;Низкий
4922449;Закрыто;Средний
4922531;Закрыто;Средний
4925615;Выполнено;Средний
4925630;Выполнено;Средний
4925864;Выполнено;Средний
4925871;Выполнено;Средний
4925896;Выполнено;Средний
4925899;Выполнено;Средний
4925921;Выполнено;Средний
4925930;Выполнено;Средний
4925962;Закрыто;Средний
4926159;Закрыто;Низкий
4926234;Выполнено;Средний
4926237;Выполнено;Средний
4926250;Выполнено;Средний
4926256;Выполнено;Средний
4926262;Выполнено;Средний
4926299;Выполнено;Средний
4926304;Выполнено;Средний
4926309;Выполнено;Средний
4928635;Закрыто;Критический
4928778;Выполнено;Высокий
4928932;Закрыто;Средний
4929062;Закрыто;Средний
4929174;Закрыто;Средний
4929326;Закрыто;Средний
4930162;Закрыто;Высокий
4932770;Закрыто;Низкий
4933442;Закрыто;Средний
4933979;Закрыто;Средний
4934763;Закрыто;Средний
4934777;Закрыто;Средний
4934798;Закрыто;Средний
4934850;Закрыто;Средний
4934854;Закрыто;Средний
4934961;Закрыто;Средний
4937920;Тестирование;Высокий
4939195;Закрыто;Средний
4942613;Закрыто;Средний
4942787;Закрыто;Средний
4943107;Закрыто;Средний
