entity_id;status;priority
102481;Закрыто;Критический
1934905;Закрыто;Средний
2383243;Закрыто;Средний
2444222;Анализ;Средний
2503655;Закрыто;Средний
2623949;Закрыто;Средний
2824925;Закрыто;Высокий
2995479;Исправление;Средний
3057885;Закрыто;Средний
3315188;Закрыто;Средний
3493071;Закрыто;Средний
3502800;Анализ;Низкий
3620274;Закрыто;Низкий
3625924;Закрыто;Средний
3626050;Исправление;Средний
3641264;Закрыто;Низкий
3641304;Закрыто;Низкий
3671384;Закрыто;Средний
3757374;Закрыто;Средний
3791006;Закрыто;Средний
3815680;Закрыто;Средний
3824296;Закрыто;Средний
3828992;Закрыто;Средний
3829052;Закрыто;Средний
3829076;Закрыто;Средний
3830127;Закрыто;Средний
3841940;Закрыто;Средний
3842914;Закрыто;Средний
3902314;Выполнено;Средний
3907493;Создано;Средний
3910459;Закрыто;Средний
3910535;Закрыто;Средний
3960249;Закрыто;Средний
3967007;Закрыто;Критический
3975798;Закрыто;Средний
3979873;Закрыто;Низкий
3987391;Создано;Высокий
3988216;Создано;Высокий
3988352;Создано;Высокий
3988394;Создано;Высокий
3988414;Создано;Высокий
3988868;Создано;Высокий
3988916;Создано;Высокий
3988926;Создано;Высокий
3989100;Создано;Высокий
3991034;Закрыто;Средний
4003156;Закрыто;Средний
4065300;Закрыто;Средний
4083383;Закрыто;Средний
4087879;Закрыто;Низкий
4092647;Создано;Средний
4093650;Создано;Средний
4093973;Закрыто;Средний
4142501;Закрыто;Низкий
4200634;Закрыто;Средний
4205047;Закрыто;Средний
4206109;Закрыто;Высокий
4206517;Закрыто;Критический
4213680;Выполнено;Средний
4229987;Закрыто;Средний
4230520;Закрыто;Средний
4231388;Закрыто;Средний
4233586;Закрыто;Средний
4234338;Закрыто;Средний
4235057;Закрыто;Средний
4264603;Закрыто;Средний
4270368;Закрыто;Средний
4274939;Закрыто;Средний
4317095;Отклонен исполнителем;Низкий
4317978;Закрыто;Критический
4325634;Закрыто;Средний
4325847;Закрыто;Средний
4326440;Закрыто;Средний
4326549;Закрыто;Средний
4326715;Закрыто;Средний
4326789;Закрыто;Средний
4326999;Закрыто;Средний
4327024;Закрыто;Средний
4327049;Закрыто;Средний
4327107;Закрыто;Средний
4327116;Закрыто;Средний
4327132;Закрыто;Средний
4327213;Закрыто;Средний
4327418;Закрыто;Средний
4327456;Закрыто;Средний
4327480;Закрыто;Средний
4327499;Закрыто;Средний
4327517;Закрыто;Средний
4327534;Закрыто;Средний
4327550;Закрыто;Средний
4327697;Закрыто;Средний
4327725;Закрыто;Средний
4328745;Закрыто;Средний
4328767;Закрыто;Средний
4331409;Закрыто;Средний
4331427;Закрыто;Средний
4331434;Закрыто;Средний
4334966;Закрыто;Средний
4334977;Закрыто;Средний
4335025;Закрыто;Средний
4337494;Закрыто;Критический
4337835;Закрыто;Средний
4338022;Закрыто;Средний
4354149;Закрыто;Высокий
4359383;Закрыто;Средний
4359397;СТ;Средний
4359422;Закрыто;Средний
4359427;Закрыто;Средний
4364774;Закрыто;Высокий
4364960;Закрыто;Высокий
4365076;Закрыто;Высокий
4370041;Закрыто;Средний
4370065;Закрыто;Средний
4371615;Закрыто;Средний
4373318;Подтверждение исправления;Низкий
4377025;Закрыто;Средний
4377031;Закрыто;Средний
4377351;Закрыто;Средний
4383070;Закрыто;Средний
4394635;Закрыто;Низкий
4395328;Закрыто;Средний
4395658;Закрыто;Критический
4399459;Закрыто;Средний
4402097;Разработка;Средний
4403190;Закрыто;Средний
4409199;Закрыто;Средний
4410789;Закрыто;Высокий
4410794;Закрыто;Средний
4410796;Создано;Низкий
4410947;Закрыто;Средний
4410989;Закрыто;Средний
4411001;Закрыто;Высокий
4411048;Закрыто;Средний
4413051;Закрыто;Средний
4415019;Отклонен исполнителем;Средний
4418389;Закрыто;Средний
4418620;Закрыто;Средний
4428061;Закрыто;Средний
4428252;Закрыто;Средний
4429413;Закрыто;Средний
4429428;Закрыто;Средний
4437916;Закрыто;Средний
4438136;Закрыто;Средний
4438158;Закрыто;Средний
4441168;Закрыто;Высокий
4441175;Закрыто;Высокий
4441726;Закрыто;Высокий
4444123;Закрыто;Средний
4444275;Закрыто;Средний
4444439;Закрыто;Высокий
4445263;Закрыто;Средний
4449600;Закрыто;Средний
4455271;Закрыто;Высокий
4455701;Закрыто;Высокий
4458388;Создано;Средний
4461601;Закрыто;Высокий
4466110;Закрыто;Средний
4468405;Закрыто;Средний
4471727;Закрыто;Высокий
4472930;Закрыто;Средний
4472942;Закрыто;Средний
4472956;Закрыто;Средний
4473156;Закрыто;Высокий
4473180;Закрыто;Средний
4473187;Закрыто;Средний
4474769;Закрыто;Высокий
4474784;Закрыто;Высокий
4475054;Закрыто;Средний
4476014;Закрыто;Высокий
4476070;Закрыто;Высокий
4477279;Закрыто;Средний
4478792;Создано;Средний
4479421;Закрыто;Средний
4481741;Закрыто;Высокий
4481783;Закрыто;Средний
4482233;Создано;Средний
4482288;Отложен;Средний
4486289;Закрыто;Средний
4486352;Закрыто;Средний
4486523;Закрыто;Средний
4489851;Закрыто;Средний
4489983;Закрыто;Средний
4491114;Подтверждение исправления;Низкий
4492843;Подтверждение исправления;Низкий
4493287;Закрыто;Низкий
4494618;Закрыто;Низкий
4494804;Подтверждение;Высокий
4496820;Закрыто;Низкий
4497633;Закрыто;Средний
4498161;Выполнено;Высокий
4498800;Отклонен исполнителем;Средний
4501170;Закрыто;Средний
4501611;Закрыто;Средний
4503007;Закрыто;Средний
4504004;Закрыто;Средний
4504046;Закрыто;Высокий
4504940;Закрыто;Низкий
4505132;Закрыто;Высокий
4505499;Закрыто;Средний
4505782;Выполнено;Средний
4505785;Закрыто;Средний
4506286;Закрыто;Низкий
4506427;Закрыто;Средний
4506467;Закрыто;Высокий
4506494;Закрыто;Средний
4506724;Закрыто;Средний
4506732;Закрыто;Средний
4506801;Закрыто;Средний
4506803;Закрыто;Высокий
4506809;Закрыто;Средний
4506815;Закрыто;Средний
4506948;Создано;Высокий
4507367;Закрыто;Средний
4507847;Выполнено;Высокий
4508374;Закрыто;Средний
4508397;Закрыто;Средний
4509187;Закрыто;Низкий
4509396;Закрыто;Средний
4509415;Закрыто;Средний
4509447;Закрыто;Средний
4509454;Закрыто;Средний
4509465;Закрыто;Средний
4509597;Отклонен исполнителем;Низкий
4509854;Закрыто;Высокий
4509857;Закрыто;Высокий
4509890;Закрыто;Средний
4510102;СТ;Средний
4511972;Закрыто;Средний
4512044;Закрыто;Высокий
4512596;Закрыто;Средний
4512615;Закрыто;Средний
4512624;Закрыто;Средний
4512637;Закрыто;Средний
4513018;Закрыто;Средний
4513238;Закрыто;Высокий
4513263;Закрыто;Средний
4514809;Подтверждение исправления;Средний
4515732;Закрыто;Средний
4515746;Закрыто;Средний
4516073;Выполнено;Средний
4516118;Выполнено;Средний
4517025;Тестирование;Средний
4517382;Закрыто;Средний
4521974;Выполнено;Средний
4522012;Выполнено;Средний
4522310;Закрыто;Средний
4522318;Выполнено;Средний
4522452;Закрыто;Средний
4522454;Закрыто;Средний
4522500;Закрыто;Средний
4522536;Закрыто;Средний
4522591;Закрыто;Средний
4524193;Выполнено;Средний
4524213;Закрыто;Средний
4525683;Закрыто;Средний
4525997;Выполнено;Средний
4526142;Закрыто;Средний
4526165;Закрыто;Средний
4527191;Закрыто;Высокий
4527255;Закрыто;Средний
4527340;Закрыто;Средний
4527391;Закрыто;Средний
4527567;Закрыто;Средний
4527606;Закрыто;Средний
4527862;Закрыто;Средний
4527875;Закрыто;Средний
4527891;Закрыто;Средний
4528751;Закрыто;Средний
4529671;В работе;Средний
4529684;Закрыто;Средний
4530754;Закрыто;Средний
4530886;Закрыто;Средний
4531407;Закрыто;Средний
4531412;Закрыто;Средний
4531490;Закрыто;Высокий
4531552;Закрыто;Высокий
4531553;Закрыто;Средний
4531616;Закрыто;Средний
4531906;Закрыто;Средний
