entity_id;status;priority
94297;Закрыто;Средний
1966759;Исправление;Низкий
2441405;Исправление;Низкий
2840563;Закрыто;Средний
2938657;Закрыто;Средний
2980909;Выполнено;Средний
3207737;Закрыто;Средний
3516665;Анализ;Высокий
3549113;Анализ;Низкий
3701003;Закрыто;Средний
3749735;Отложен;Низкий
3781039;Закрыто;Средний
3797131;Выполнено;Средний
3803163;Закрыто;Высокий
3836437;Закрыто;Средний
3864762;Закрыто;Средний
3907488;Выполнено;Средний
3910233;Закрыто;Средний
3978415;Создано;Средний
3986221;Закрыто;Средний
3986639;Закрыто;Средний
4042153;Закрыто;Низкий
4042394;Закрыто;Низкий
4075629;Исправление;Средний
4089534;Закрыто;Средний
4091652;Закрыто;Высокий
4091655;Закрыто;Высокий
4092647;Создано;Средний
4092837;Создано;Средний
4096572;Закрыто;Средний
4098097;Закрыто;Средний
4111553;Закрыто;Средний
4127240;Закрыто;Средний
4197866;Создано;Средний
4228784;Закрыто;Средний
4264603;Закрыто;Средний
4326531;Закрыто;Средний
4334971;Закрыто;Критический
4334986;Закрыто;Критический
4337435;Выполнено;Средний
4337453;Закрыто;Средний
4337719;Закрыто;Критический
4337932;Закрыто;Средний
4337946;Закрыто;Средний
4347835;Тестирование;Средний
4352186;Закрыто;Средний
4380297;Закрыто;Низкий
4399932;Закрыто;Высокий
4427623;Закрыто;Средний
4438203;Закрыто;Средний
4441008;Закрыто;Средний
4441041;Закрыто;Средний
4445270;Закрыто;Критический
4449638;Закрыто;Средний
4450950;Закрыто;Высокий
4455271;Закрыто;Высокий
4455327;Закрыто;Средний
4456149;Закрыто;Высокий
4456425;Закрыто;Высокий
4456502;Закрыто;Средний
4456970;Закрыто;Средний
4476767;Закрыто;Высокий
4476804;Закрыто;Высокий
4477125;Закрыто;Средний
4486366;Закрыто;Средний
4486378;Закрыто;Средний
4486397;Закрыто;Средний
4486424;Закрыто;Средний
4486434;Закрыто;Средний
4486645;Закрыто;Средний
4491176;Закрыто;Высокий
4497858;Закрыто;Средний
4498161;Выполнено;Высокий
4498685;Выполнено;Высокий
4498695;Выполнено;Высокий
4498701;Закрыто;Средний
4504034;Закрыто;Высокий
4504037;Закрыто;Высокий
4505529;Закрыто;Средний
4506738;Анализ;Средний
4506809;Закрыто;Средний
4509538;Закрыто;Средний
4509543;Закрыто;Средний
4509882;Закрыто;Высокий
4516073;Выполнено;Средний
4523718;Закрыто;Критический
4531037;Закрыто;Средний
4549220;Закрыто;Средний
4550413;В работе;Средний
4556808;Закрыто;Средний
4558613;Закрыто;Средний
4575145;Закрыто;Средний
4578636;Закрыто;Средний
4579094;Закрыто;Критический
4589756;Закрыто;Средний
4596004;Закрыто;Критический
4600573;Тестирование;Низкий
4602781;Закрыто;Средний
4609089;В работе;Средний
4619162;Выполнено;Низкий
4623221;Закрыто;Средний
4623364;Закрыто;Средний
4627018;Закрыто;Средний
4629571;Закрыто;Средний
4632881;Закрыто;Средний
4649797;Закрыто;Средний
4651289;Закрыто;Средний
4653024;Закрыто;Средний
4660568;Закрыто;Средний
4661406;Создано;Средний
4672429;Создано;Средний
4673177;В работе;Средний
4673236;Создано;Средний
4676222;Закрыто;Средний
4679322;Закрыто;Средний
4679846;Закрыто;Средний
4681026;Тестирование;Средний
4681497;Закрыто;Низкий
4683385;Закрыто;Средний
4683386;Закрыто;Средний
4685266;Выполнено;Высокий
4685321;Закрыто;Критический
4686606;Закрыто;Средний
4686828;Закрыто;Средний
4689370;Закрыто;Средний
4690337;Закрыто;Средний
4691060;Закрыто;Средний
4691228;Закрыто;Средний
4691386;Закрыто;Высокий
4693819;Создано;Средний
4694049;Закрыто;Средний
4695218;Закрыто;Средний
4696929;Анализ;Средний
4697963;Создано;Средний
4700347;Закрыто;Средний
4700389;Закрыто;Средний
4700405;Закрыто;Средний
4702650;Закрыто;Средний
4705724;Закрыто;Средний
4705918;Закрыто;Высокий
4707238;Закрыто;Средний
4707459;Выполнено;Средний
4707473;Выполнено;Средний
4707501;Закрыто;Средний
4707874;Закрыто;Средний
4707911;Закрыто;Средний
4708365;Закрыто;Средний
4708425;Закрыто;Средний
4712991;Закрыто;Средний
4718738;Отложен;Низкий
4718857;Закрыто;Средний
4724529;Закрыто;Средний
